resena_id,destino_id,visitante_id,calificacion,comentario,fecha_resena
1,19,2569,2,Perfecto para familias,2024-12-29
2,12,3545,1,Asequible y hermoso,2023-02-23
3,10,1983,1,No volvería,2024-12-20
4,13,2435,4,Demasiado turístico,2024-08-14
5,20,1897,2,Increíble experiencia,2023-05-31
6,15,3875,5,No volvería,2023-02-24
7,3,1778,1,Recomendado,2024-05-31
8,20,1223,2,No volvería,2024-03-23
9,13,2772,2,Increíble experiencia,2023-02-04
10,8,2689,1,"Buen lugar, pero caro",2023-04-29
11,7,1468,4,Servicio excelente,2023-07-16
12,8,3617,2,Demasiado turístico,2024-07-19
13,18,2346,3,Asequible y hermoso,2024-05-28
14,9,3423,2,"Buen lugar, pero caro",2024-08-16
15,6,3575,5,Increíble experiencia,2024-02-26
16,4,1412,1,"Buen lugar, pero caro",2024-05-31
17,15,3317,5,Demasiado turístico,2024-11-16
18,5,1626,4,"Buen lugar, pero caro",2023-05-19
19,5,2276,3,Recomendado,2024-12-05
20,7,2012,1,Cultura fascinante,2024-10-11
21,9,2678,2,Demasiado turístico,2024-09-19
22,7,3498,3,Servicio excelente,2023-02-13
23,9,1802,2,No volvería,2023-08-07
24,20,2893,4,Demasiado turístico,2024-07-21
25,10,2561,1,Increíble experiencia,2023-09-15
26,4,2392,4,"Buen lugar, pero caro",2024-05-27
27,6,3870,4,Demasiado turístico,2024-01-12
28,14,1255,4,"Buen lugar, pero caro",2023-10-16
29,9,2487,4,Asequible y hermoso,2024-04-14
30,1,3174,2,Servicio excelente,2023-04-13
31,17,2417,5,Perfecto para familias,2023-05-29
32,13,1762,2,Demasiado turístico,2023-03-25
33,7,3847,3,Increíble experiencia,2023-01-26
34,9,2358,4,Cultura fascinante,2023-06-24
35,11,1565,3,Servicio excelente,2024-10-02
36,3,2392,2,Perfecto para familias,2024-02-26
37,12,2579,4,Asequible y hermoso,2024-10-15
38,3,3504,2,Cultura fascinante,2023-12-12
39,15,2091,4,No volvería,2023-10-29
40,10,3960,2,"Buen lugar, pero caro",2023-10-25
41,1,2619,1,Cultura fascinante,2023-05-15
42,14,3910,5,"Buen lugar, pero caro",2023-02-24
43,20,3665,5,Perfecto para familias,2023-02-25
44,6,1400,4,Asequible y hermoso,2024-01-09
45,2,1287,1,Perfecto para familias,2024-08-10
46,8,3234,3,Asequible y hermoso,2023-12-05
47,1,3332,1,Asequible y hermoso,2024-04-01
48,4,2540,4,Recomendado,2023-12-21
49,4,3698,1,Recomendado,2023-05-12
50,5,3739,3,Servicio excelente,2024-05-07
51,20,1237,4,Recomendado,2024-07-07
52,9,1815,5,Recomendado,2023-04-20
53,13,1928,1,"Buen lugar, pero caro",2024-08-04
54,18,1414,5,Demasiado turístico,2023-05-06
55,17,2956,5,No volvería,2023-10-23
56,1,3057,2,Increíble experiencia,2023-06-28
57,15,1420,3,Asequible y hermoso,2023-07-16
58,2,1029,1,Perfecto para familias,2023-04-11
59,16,3396,5,"Buen lugar, pero caro",2024-07-26
60,20,1661,5,Asequible y hermoso,2023-07-02
61,5,3624,3,Increíble experiencia,2023-01-09
62,19,1450,5,Recomendado,2024-02-17
63,5,1380,5,No volvería,2024-12-18
64,2,3747,5,Recomendado,2024-07-19
65,7,3414,5,Asequible y hermoso,2024-11-22
66,3,2251,2,No volvería,2023-04-14
67,17,3460,2,Increíble experiencia,2023-05-06
68,3,3999,4,Perfecto para familias,2024-06-29
69,13,1356,1,Perfecto para familias,2024-11-07
70,7,3302,3,Servicio excelente,2023-09-27
71,3,2697,4,Cultura fascinante,2024-04-10
72,15,1727,2,Cultura fascinante,2023-04-28
73,18,2468,2,Perfecto para familias,2023-04-02
74,10,3729,2,Cultura fascinante,2024-09-03
75,7,1810,4,Demasiado turístico,2024-04-29
76,9,2904,2,Increíble experiencia,2023-03-28
77,5,3521,4,Demasiado turístico,2023-08-22
78,20,1416,2,Cultura fascinante,2023-05-04
79,8,1600,5,Recomendado,2023-07-22
80,14,2340,5,Servicio excelente,2023-02-01
81,4,3508,1,Cultura fascinante,2023-12-23
82,20,1079,2,"Buen lugar, pero caro",2024-04-07
83,14,2568,1,Asequible y hermoso,2024-07-04
84,12,3823,4,No volvería,2023-04-04
85,2,2095,1,Recomendado,2024-06-05
86,13,3944,2,Asequible y hermoso,2024-12-27
87,1,2221,4,Servicio excelente,2024-02-12
88,20,1058,4,"Buen lugar, pero caro",2023-04-10
89,7,2448,5,Perfecto para familias,2023-09-01
90,9,2493,4,Asequible y hermoso,2023-02-27
91,17,3672,4,No volvería,2023-12-23
92,13,3096,1,Demasiado turístico,2024-05-05
